租约抢占：pid=37106 stole from pid=69415 reason=holder pid 69415 不存在（判定已死） at=1787246449

[ledger-run 2026-08-20T17:20:49Z] 常驻开工 resident-start | 账本=.team/ledgers/pr1-v1.json 监视间隔=1000ms —— 停机不再等于退出：halt 会挂起并继续守着；⛔ 只有 revision 前进才解挂，进程只由人手动停
[ledger-run 2026-08-20T17:20:49Z] 开工 start | ledger_id=ledger.pr1.v1 revision=18 账本=.team/ledgers/pr1-v1.json 墙钟上限=129600s 派单死线=90s
[ledger-run 2026-08-20T17:20:54Z] 轮次 round | 第 1 轮开始：前沿 ["t.d1.rv", "t.e6.rv", "t.geom", "t.meter", "t.recon.rv"]（墙钟已跑 5s / 上限 129600s）
[ledger-run 2026-08-20T17:20:54Z] 派单 dispatch | task=t.d1.rv 收件人=/Volumes/nvme/Projects/远程Agent安卓::remote-agent-android/pr1-judge-theme 席位=pr1-judge-theme attempt=att-t.d1.rv-seq1-t1787246454832 delivery=del-t.d1.rv-seq1-t1787246454832 等席位预算=5400s 来源=任务 seat_wait_seconds
[ledger-run 2026-08-20T17:20:55Z] 投递回执 send-ok | task=t.d1.rv case_id=ledger_pr1_v1__t.d1.rv__r18 message_id=msg_07647eff6b50 —— 回执成功≠席位收到，下一步查收件箱确认落地
[ledger-run 2026-08-20T17:20:55Z] 派单落地 dispatch-landed | task=t.d1.rv 席位 pr1-judge-theme 的收件箱已多出这条派单
[ledger-run 2026-08-20T17:20:55Z] 派单 dispatch | task=t.e6.rv 收件人=/Volumes/nvme/Projects/远程Agent安卓::remote-agent-android/pr1-judge-session 席位=pr1-judge-session attempt=att-t.e6.rv-seq2-t1787246455079 delivery=del-t.e6.rv-seq2-t1787246455079 等席位预算=5400s 来源=任务 seat_wait_seconds
[ledger-run 2026-08-20T17:20:55Z] 投递回执 send-ok | task=t.e6.rv case_id=ledger_pr1_v1__t.e6.rv__r18 message_id=msg_07aa8cd1cb88 —— 回执成功≠席位收到，下一步查收件箱确认落地
[ledger-run 2026-08-20T17:20:55Z] 派单落地 dispatch-landed | task=t.e6.rv 席位 pr1-judge-session 的收件箱已多出这条派单
[ledger-run 2026-08-20T17:20:55Z] 派单 dispatch | task=t.geom 收件人=/Volumes/nvme/Projects/远程Agent安卓::grok-l2/pr1-geom 席位=pr1-geom attempt=att-t.geom-seq3-t1787246455321 delivery=del-t.geom-seq3-t1787246455321 等席位预算=5400s 来源=任务 seat_wait_seconds
[ledger-run 2026-08-20T17:20:55Z] 投递回执 send-ok | task=t.geom case_id=ledger_pr1_v1__t.geom__r18 message_id=msg_07eb9afb19a8 —— 回执成功≠席位收到，下一步查收件箱确认落地
