i	sec	n	dark	bright	color
0	0.9635	26250	56	26073	121
1	1.7888	26250	26250	0	0
2	2.6140	26250	26250	0	0
3	3.4117	26250	26250	0	0
4	4.2337	26250	26250	0	0
5	5.0642	26250	26250	0	0
6	5.9030	26250	26250	0	0
7	6.7313	26250	26250	0	0
8	7.5770	26250	26250	0	0
9	8.4057	26250	26250	0	0
10	9.2168	26250	26250	0	0
11	10.0148	26250	26250	0	0
12	10.8241	26250	26250	0	0
13	11.6563	26250	26250	0	0
14	12.5124	26250	26250	0	0
15	13.3373	26250	26250	0	0
16	14.1347	26250	26250	0	0
17	14.9639	26250	26250	0	0
18	16.6203	26250	26250	0	0
