UI hierchary dumped to: /sdcard/r2.xml
label bash
tapped 0.034
burst i=0 t=0.963 n=26250 dark=56 bright=26073 color=121
burst i=1 t=1.789 n=26250 dark=26250 bright=0 color=0
burst i=2 t=2.614 n=26250 dark=26250 bright=0 color=0
burst i=3 t=3.412 n=26250 dark=26250 bright=0 color=0
burst i=4 t=4.234 n=26250 dark=26250 bright=0 color=0
burst i=5 t=5.064 n=26250 dark=26250 bright=0 color=0
burst i=6 t=5.903 n=26250 dark=26250 bright=0 color=0
burst i=7 t=6.731 n=26250 dark=26250 bright=0 color=0
burst i=8 t=7.577 n=26250 dark=26250 bright=0 color=0
burst i=9 t=8.406 n=26250 dark=26250 bright=0 color=0
burst i=10 t=9.217 n=26250 dark=26250 bright=0 color=0
burst i=11 t=10.015 n=26250 dark=26250 bright=0 color=0
burst i=12 t=10.824 n=26250 dark=26250 bright=0 color=0
burst i=13 t=11.656 n=26250 dark=26250 bright=0 color=0
burst i=14 t=12.512 n=26250 dark=26250 bright=0 color=0
burst i=15 t=13.337 n=26250 dark=26250 bright=0 color=0
burst i=16 t=14.135 n=26250 dark=26250 bright=0 color=0
burst i=17 t=14.964 n=26250 dark=26250 bright=0 color=0
burst i=18 t=16.620 n=26250 dark=26250 bright=0 color=0
RESULT timeout>16s
