UI hierchary dumped to: /sdcard/r2.xml
label bash
tapped 0.131
burst i=0 t=1.793 n=26250 dark=56 bright=26073 color=121
burst i=1 t=3.282 n=26250 dark=26250 bright=0 color=0
burst i=2 t=4.371 n=26250 dark=26250 bright=0 color=0
burst i=3 t=6.447 n=26250 dark=26250 bright=0 color=0
burst i=4 t=7.304 n=26250 dark=26250 bright=0 color=0
burst i=5 t=8.132 n=26250 dark=26250 bright=0 color=0
burst i=6 t=9.028 n=26250 dark=26250 bright=0 color=0
burst i=7 t=9.947 n=26250 dark=26250 bright=0 color=0
burst i=8 t=10.791 n=26250 dark=26250 bright=0 color=0
burst i=9 t=11.610 n=26250 dark=26250 bright=0 color=0
burst i=10 t=12.444 n=26250 dark=26250 bright=0 color=0
burst i=11 t=13.245 n=26250 dark=26250 bright=0 color=0
burst i=12 t=14.067 n=26250 dark=26250 bright=0 color=0
burst i=13 t=14.877 n=26250 dark=26250 bright=0 color=0
burst i=14 t=15.667 n=26250 dark=26250 bright=0 color=0
burst i=15 t=16.476 n=26250 dark=26250 bright=0 color=0
RESULT timeout>16s
