ok  	github.com/agentmirror/agentmirror/cmd/agentmirrord	1.509s
ok  	github.com/agentmirror/agentmirror/internal/api	46.246s
ok  	github.com/agentmirror/agentmirror/internal/bridge	20.372s
ok  	github.com/agentmirror/agentmirror/internal/config	1.889s
ok  	github.com/agentmirror/agentmirror/internal/discovery	3.479s
ok  	github.com/agentmirror/agentmirror/internal/overlay	4.723s
ok  	github.com/agentmirror/agentmirror/internal/pairing	2.580s
ok  	github.com/agentmirror/agentmirror/internal/protocol	3.454s
ok  	github.com/agentmirror/agentmirror/internal/provider	0.951s
ok  	github.com/agentmirror/agentmirror/internal/tsnetd	4.013s
EXIT:0
