⠼ - Waiting for response… - 修滚动摘要	working	grok	title
⠋ - List panes - Level2 回炉：归档回退与全空根因探针 - grok	working	grok	title
something - Thinking - draft	working	grok	title
修滚动摘要 - grok	idle	grok	title
对照席定点变异验红绿判据 - grok	idle	grok	title
◐ 保留V5代码保证审查参考	working	claude_code	title
◓ still-working-sample	working	claude_code	title
✳ librarian	idle	claude_code	title
※probe-unknown-full-title	unknown	unknown	title
修滚动的 bug	idle	unknown	title
hello	idle	unknown	title
grok	idle	grok	title
command still running	1	grok	footer
just a prompt · nothing in flight	0	grok	footer
send a message to interrupt	unknown	claude_code	footer
